transaction_id,customer_id,account_id,timestamp,amount,currency,transaction_type,channel,merchant_id,merchant_name,merchant_category,device_id,ip_address,city,state,country,latitude,longitude,is_fraud,fraud_type,new_device_flag,high_amount_flag,geo_anomaly_flag,velocity_flag
TXN-2C0AAE1C620B,CUST-A0971976,ACC-B83B1F4896,2026-06-27T13:11:50.248633+00:00,2110.19,USD,WITHDRAWAL,ATM,MER-006E1D1D,"Lane, Moore and Fisher",RETAIL,DEV-7351A162,141.112.20.253,Port James,DE,US,76.391479,-28.865021,0,NONE,0,0,0,0
TXN-81AF5BAB2D4E,CUST-DB128F93,ACC-27ACA934EC,2026-06-27T13:20:05.210763+00:00,1676.02,USD,PURCHASE,ONLINE,MER-B35E0BF9,Wilson-Brown,RESTAURANT,DEV-6CDEACF8,193.161.183.209,Port Willie,WV,US,3.9023465,-66.3665,0,NONE,0,0,0,0
TXN-8D9A024CD431,CUST-9C9EDA6C,ACC-66CA815A85,2026-06-27T13:21:39.123305+00:00,2394.87,USD,TRANSFER,ONLINE,MER-D47C0AFC,"Romero, Sweeney and Knight",HEALTHCARE,DEV-30FD0711,42.207.160.65,Williamtown,NM,US,-31.0987265,-79.945118,0,NONE,0,0,0,0
TXN-4EC964A083CD,CUST-2036786F,ACC-94781DD2A2,2026-06-27T13:23:35.631364+00:00,1538.38,USD,TRANSFER,ONLINE,MER-6B3C842E,Brandt LLC,FUEL,DEV-1491C70D,213.156.94.143,Lake Denisefurt,NE,US,81.465113,121.466966,0,NONE,0,0,0,0
TXN-6FA98A29A97F,CUST-EC894868,ACC-257E174BED,2026-06-27T13:23:49.535550+00:00,33.87,USD,PURCHASE,ONLINE,MER-5C37DE58,"Robinson, Kim and Higgins",ENTERTAINMENT,DEV-B0D4B2F7,115.207.24.131,Raymondburgh,WA,US,80.1196785,-8.712445,0,NONE,0,0,0,0
TXN-FEB6662959CE,CUST-C512B099,ACC-F2016B62C0,2026-06-27T13:33:13.726442+00:00,2093.42,USD,PURCHASE,CARD,MER-4F51FAEB,Sandoval PLC,ELECTRONICS,DEV-D7741A31,207.238.197.138,North Michaelburgh,FM,US,-6.080641,108.576222,0,NONE,0,0,0,0
TXN-7FE421D82F2A,CUST-D50EA3DF,ACC-62FC129322,2026-06-27T13:35:20.520475+00:00,1709.69,USD,PURCHASE,MOBILE,MER-68B53D45,"Aguilar, Ingram and Wade",ENTERTAINMENT,DEV-52A266ED,94.185.79.214,New Danielle,KS,US,-12.169477,166.277324,0,NONE,0,0,0,0
TXN-7A9D61BDB3F8,CUST-EED46B33,ACC-0E7B5145F5,2026-06-27T13:36:06.771631+00:00,1090.76,USD,PURCHASE,CARD,MER-A0086C44,Johnson LLC,ELECTRONICS,DEV-E0E0F5F2,66.149.148.200,East Brittanyfort,SC,US,-54.0598785,-79.540074,0,NONE,0,0,0,0
TXN-EE05E68A7916,CUST-F54358B9,ACC-380973E4F5,2026-06-27T13:43:27.198877+00:00,1235.33,USD,PAYMENT,ONLINE,MER-C4CF5444,"Stephenson, Martinez and Beck",ENTERTAINMENT,DEV-7C0EB802,56.149.28.181,Amyland,VA,US,79.3381555,177.084509,0,NONE,0,0,0,0
TXN-6607CF8A84E4,CUST-8D1B556F,ACC-6BB6F6B8D8,2026-06-27T13:45:11.583357+00:00,1747.61,USD,PURCHASE,CARD,MER-D63FE92E,"Hodges, Martin and Lewis",TRAVEL,DEV-88D9A19B,215.135.135.180,Matthewborough,AS,US,-0.6374925,170.419251,0,NONE,0,0,0,0
TXN-2010FE4C80A6,CUST-7A7C9120,ACC-FBE9096A34,2026-06-27T13:45:48.659801+00:00,1671.54,USD,PURCHASE,CARD,MER-27F7E5C3,Floyd-Hood,ELECTRONICS,DEV-7A536D25,195.172.127.178,West Christina,NC,US,83.4695195,82.459706,0,NONE,0,0,0,0
TXN-AE3F6ED03D63,CUST-9CC9ED35,ACC-6B73B4B402,2026-06-27T13:46:52.383265+00:00,1893.98,USD,PURCHASE,CARD,MER-9D7CEC3A,"Anderson, Shelton and Bruce",ELECTRONICS,DEV-14A30A33,102.76.23.216,Lancefort,WV,US,61.5408825,99.327624,0,NONE,0,0,0,0
TXN-E8D0BB4B5FB1,CUST-4468CB9A,ACC-E43BA3BB62,2026-06-27T13:48:10.814401+00:00,1396.42,USD,TRANSFER,ONLINE,MER-5D52AAE9,Williams Inc,HEALTHCARE,DEV-22F99939,55.4.126.217,North Staceyfort,WY,US,-63.3619195,45.976595,0,NONE,0,0,0,0
TXN-E44E749ED810,CUST-E5A753B5,ACC-68DE4FE123,2026-06-27T13:50:14.468664+00:00,1848.64,USD,WITHDRAWAL,ATM,MER-6F9D6FD9,Watts-Chavez,ELECTRONICS,DEV-4BE776EC,29.221.13.210,Nobleport,TN,US,-79.7488,178.251704,0,NONE,0,0,0,0
TXN-EA3C97BB5936,CUST-E5DC66DE,ACC-4F8C4D4CBB,2026-06-27T13:54:34.531883+00:00,183.6,USD,WITHDRAWAL,ATM,MER-15571493,Young-Evans,FUEL,DEV-4D2D9066,197.50.163.204,Torresborough,HI,US,-80.1863945,-142.686361,0,NONE,0,0,0,0
TXN-05457A22A385,CUST-3DFEF8A8,ACC-FC293CB526,2026-06-27T13:58:47.439334+00:00,1871.37,USD,TRANSFER,MOBILE,MER-BDBF8597,"Richardson, Ware and Conner",HEALTHCARE,DEV-7A1D66A9,190.184.161.114,Johnhaven,PR,US,-25.5527145,103.002258,0,NONE,0,0,0,0
TXN-E50E1A71E0F7,CUST-C9C94AF9,ACC-2540C062A2,2026-06-27T13:58:59.396637+00:00,1774.61,USD,WITHDRAWAL,ATM,MER-874F92AB,Dixon Group,HEALTHCARE,DEV-E9EE0A98,47.90.201.56,East Heatherhaven,NY,US,56.03654,-2.910394,0,NONE,0,0,0,0
TXN-D821C6B07CFB,CUST-D8E1C394,ACC-2193007408,2026-06-27T13:59:04.690984+00:00,500.89,USD,PURCHASE,CARD,MER-8E8A8969,Clark and Sons,RESTAURANT,DEV-43E19E4E,214.129.194.55,Lake Adrianchester,OR,US,-54.348739,110.089103,0,NONE,0,0,0,0
TXN-4ECED8EB0DFC,CUST-3C516463,ACC-1706E093A1,2026-06-27T14:05:36.583740+00:00,1797.26,USD,WITHDRAWAL,ATM,MER-F22C7A43,"Schmidt, Gardner and Cline",GROCERY,DEV-39101AE3,176.170.61.79,West Sandra,AR,US,4.6837835,-33.552568,0,NONE,0,0,0,0
TXN-6D2820292340,CUST-E30E3C90,ACC-EAE14A9082,2026-06-27T14:09:07.226786+00:00,2369.59,USD,WITHDRAWAL,ATM,MER-4BFC1765,Wilcox-Wilson,ENTERTAINMENT,DEV-42D2D87D,197.243.174.14,Annaborough,MO,US,5.3326025,48.832355,0,NONE,0,0,0,0
TXN-1F226432B75F,CUST-74C677AE,ACC-2CDB149B0B,2026-06-27T14:15:01.182132+00:00,347.51,USD,WITHDRAWAL,ATM,MER-25E4A387,Ferguson PLC,HEALTHCARE,DEV-345EB55B,221.53.188.115,East Jeffrey,NC,US,88.095838,39.896098,0,NONE,0,0,0,0
TXN-F20932BAC4AA,CUST-73CD1A35,ACC-DCC4162A81,2026-06-27T14:18:00.941178+00:00,1951.04,USD,PURCHASE,ONLINE,MER-1D8ACEAF,Smith-Jordan,TRAVEL,DEV-245BEFE3,210.35.133.69,Thomasburgh,NV,US,-3.7053375,104.66494,0,NONE,0,0,0,0
TXN-EAC83D07F2AE,CUST-994A6AD7,ACC-84453B46E3,2026-06-27T14:18:40.126232+00:00,2035.15,USD,PURCHASE,CARD,MER-AA378481,"Walsh, Powell and Gutierrez",GROCERY,DEV-5AD31B0E,222.116.7.203,Andersonshire,OH,US,-50.15486,-9.58873,0,NONE,0,0,0,0
TXN-3270B2CCD100,CUST-32CCB661,ACC-2535DC0CE0,2026-06-27T14:22:59.272251+00:00,1412.99,USD,TRANSFER,MOBILE,MER-7CED394F,Cantu-Parker,GROCERY,DEV-AA15DDE9,130.114.166.56,East Kevinshire,PR,US,-28.237027,-87.812523,0,NONE,0,0,0,0
TXN-27104009719C,CUST-2B94D792,ACC-7A64FBCFD0,2026-06-27T14:24:25.627595+00:00,2490.1,USD,PURCHASE,CARD,MER-E555C048,Gibbs-Hoover,ELECTRONICS,DEV-030854A0,62.9.39.115,North Ericfurt,NC,US,88.297518,150.157889,0,NONE,0,0,0,0
TXN-306CE1D15CF4,CUST-314A95E6,ACC-162288A69D,2026-06-27T14:24:31.768949+00:00,1748.59,USD,PURCHASE,ONLINE,MER-8CA1DE1D,Haynes Group,FUEL,DEV-BF238164,203.19.9.4,New Joshuafurt,PR,US,-39.758797,76.15744,0,NONE,0,0,0,0
TXN-DCC431ABBAA7,CUST-4FC986C9,ACC-D3A68275DA,2026-06-27T14:26:34.663611+00:00,811.66,USD,TRANSFER,ONLINE,MER-F1795360,"Ramsey, Quinn and Hodges",ELECTRONICS,DEV-73117AC8,215.45.68.116,Singletonfurt,MA,US,63.3996025,-84.653657,0,NONE,0,0,0,0
TXN-C7A7D1368F2E,CUST-80839EB7,ACC-678CAC7B3E,2026-06-27T14:31:24.265281+00:00,218.75,USD,WITHDRAWAL,ATM,MER-D5193279,Miller and Sons,ENTERTAINMENT,DEV-11AC5437,174.239.13.192,Lake Alex,MN,US,61.5927045,139.372354,0,NONE,0,0,0,0
TXN-51B61965153D,CUST-07CA1DEF,ACC-33F36B64EE,2026-06-27T14:33:46.465840+00:00,2301.51,USD,WITHDRAWAL,ATM,MER-1103C38C,"Love, Conrad and Garrett",FUEL,DEV-97747D05,43.22.70.160,Simonshire,PW,US,-71.6240685,-104.395624,1,VELOCITY_FRAUD,0,0,0,1
TXN-F7A77D7DB4EC,CUST-EDE7AA4A,ACC-131E244177,2026-06-27T14:35:33.555707+00:00,582.88,USD,TRANSFER,ONLINE,MER-8042195C,Lambert Group,TRAVEL,DEV-8D341AF2,163.186.222.52,Thomasville,MT,US,-66.1268655,84.589686,0,NONE,0,0,0,0
TXN-938E29C581D6,CUST-74C677AE,ACC-2CDB149B0B,2026-06-27T14:42:57.182915+00:00,2340.46,USD,PURCHASE,ONLINE,MER-8CFD599C,"Moran, Sullivan and Lee",FUEL,DEV-C6F81F6C,64.154.184.225,North Bruce,OK,US,1.1100195,39.870812,0,NONE,0,0,0,0
TXN-71741DB9D276,CUST-911F4401,ACC-01CFBFD75C,2026-06-27T14:43:51.787200+00:00,1593.73,USD,TRANSFER,MOBILE,MER-662BF168,"White, West and Thompson",RETAIL,DEV-0673CE60,184.172.187.28,East Kelly,FM,US,39.683675,-5.567394,0,NONE,0,0,0,0
